time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
37710.0,-53.0012,-70.8788,990.107,61.4082,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
37720.0,-53.0012,-70.8883,979.232,61.2832,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
37730.0,-53.0011,-70.9001,966.267,62.8518,53.9891,6.87772,0.122867,1.69577,3.31536,0.0806066,47.1250,3.22660,0.768571,0.534693
37740.0,-53.0006,-70.9119,960.872,62.8684,53.9879,6.87634,0.116044,1.69827,3.31971,0.0806088,47.1175,3.22604,0.770490,0.535063
37750.0,-53.0007,-70.9246,959.226,61.4051,53.9888,6.87598,0.114422,1.70001,3.32184,0.0806092,47.1149,3.22594,0.771028,0.535155
37760.0,-53.0027,-70.9377,954.641,61.4215,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
37770.0,-53.0070,-70.9501,948.953,61.3562,53.9817,6.87339,0.112669,1.70630,3.32908,0.0806059,47.1064,3.22662,0.773020,0.535346
37780.0,-53.0130,-70.9611,941.035,61.5158,53.9682,6.87173,0.123938,1.70990,3.33156,0.0806009,47.1107,3.22887,0.772640,0.534917
37790.0,-53.0203,-70.9698,932.967,60.9775,53.9594,6.87197,0.133262,1.71132,3.33220,0.0806050,47.1154,3.23026,0.772623,0.534564
37800.0,-53.0288,-70.9765,925.724,62.0735,53.9592,6.87533,0.138026,1.70885,3.32967,0.0806164,47.1201,3.23037,0.773214,0.534378
37810.0,-53.0381,-70.9801,916.637,61.0901,53.9718,6.88480,0.137566,1.69921,3.32137,0.0806328,47.1268,3.22928,0.774998,0.534352
37820.0,-53.0476,-70.9804,907.514,61.5135,53.9897,6.89586,0.132737,1.68624,3.31219,0.0806367,47.1320,3.22933,0.777271,0.534419
37830.0,-53.0574,-70.9775,901.987,62.3825,53.9975,6.90058,0.129595,1.67945,3.30927,0.0806313,47.1330,3.23140,0.778444,0.534436
37840.0,-53.0669,-70.9706,897.774,62.2420,54.0001,6.90206,0.127880,1.67600,3.30966,0.0806278,47.1322,3.23435,0.779054,0.534437
37850.0,-53.0749,-70.9585,893.106,62.3350,54.0000,6.90169,0.126879,1.67444,3.31293,0.0806190,47.1301,3.23830,0.779389,0.534466
37860.0,-53.0796,-70.9415,884.307,62.5212,53.9983,6.89964,0.126773,1.67737,3.32476,0.0805450,47.1258,3.24641,0.779195,0.534679
37870.0,-53.0802,-70.9223,873.375,62.2056,54.0120,6.90698,0.127745,1.69016,3.34190,0.0803399,47.1280,3.25682,0.777882,0.535357
37880.0,-53.0774,-70.9034,862.646,62.3706,54.0671,6.93724,0.127840,1.71060,3.35899,0.0801777,47.1492,3.26823,0.776567,0.536764
37890.0,-53.0734,-70.8846,853.255,63.5450,54.1555,6.98203,0.127399,1.73521,3.38029,0.0802578,47.1874,3.28163,0.776853,0.538576
37900.0,-53.0693,-70.8658,844.047,63.0767,54.2790,7.04123,0.127227,1.76527,3.41023,0.0803405,47.2444,3.29971,0.780018,0.540580
