time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
64660.0,19.7188,-156.048,998.514,63.0610,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64670.0,19.7109,-156.050,988.610,61.4596,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64680.0,19.7036,-156.054,981.210,61.4979,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64690.0,19.6964,-156.060,977.122,61.3331,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64700.0,19.6886,-156.065,973.080,61.0898,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64710.0,19.6804,-156.071,970.310,61.0752,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64720.0,19.6724,-156.078,964.961,60.9488,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64730.0,19.6642,-156.085,955.898,61.2443,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64740.0,19.6556,-156.092,944.492,60.9837,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64750.0,19.6467,-156.099,935.471,60.8530,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64760.0,19.6376,-156.106,925.987,60.4510,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
64770.0,19.6283,-156.113,914.605,60.1769,82.7783,10.8629,1.49304,0.702797,2.52724,3.54729,72.1492,13.9292,7.88420,3.91395
64780.0,19.6188,-156.119,903.171,60.4856,83.5472,11.0669,1.56024,0.706411,2.52439,3.41072,72.7327,13.7111,8.05610,3.80731
64790.0,19.6093,-156.126,893.996,59.5506,84.1263,11.2267,1.61568,0.709975,2.52528,3.27617,73.1324,13.4893,8.20457,3.70171
64800.0,19.5997,-156.134,886.908,59.1952,84.5757,11.3532,1.66047,0.713672,2.52578,3.15843,73.4116,13.2928,8.33162,3.60885
64810.0,19.5897,-156.141,879.905,59.2445,85.0024,11.4795,1.70256,0.718075,2.52673,3.04318,73.6496,13.0966,8.46117,3.51728
64820.0,19.5793,-156.148,873.006,59.6374,85.4218,11.6123,1.74263,0.721851,2.52731,2.93562,73.8641,12.9108,8.59087,3.43128
64830.0,19.5686,-156.156,865.872,60.0643,85.8405,11.7662,1.78216,0.723715,2.52838,2.83500,74.0527,12.7340,8.72120,3.35043
64840.0,19.5576,-156.164,858.032,59.7292,86.1695,11.9391,1.82536,0.724415,2.53242,2.73116,74.1250,12.5433,8.86189,3.26631
