time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
46410.0,66.9995,-50.7712,994.770,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
46420.0,66.9948,-50.7917,986.358,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
46430.0,66.9898,-50.8134,976.933,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
46440.0,66.9845,-50.8364,966.357,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
46450.0,66.9790,-50.8604,951.901,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
46460.0,66.9732,-50.8848,936.860,-99999.0,94.5108,16.4979,4.19469,0.369559,0.836144,9.35462,77.9978,24.5100,19.7617,9.81887
46470.0,66.9669,-50.9092,923.696,-99999.0,94.4967,16.5005,4.18735,0.370087,0.832827,9.32827,77.9845,24.5421,19.7920,9.77257
46480.0,66.9602,-50.9343,914.357,-99999.0,94.5132,16.4827,4.21433,0.371261,0.833255,9.32984,77.9945,24.5735,19.8168,9.73215
46490.0,66.9532,-50.9599,904.801,-99999.0,94.5585,16.4637,4.26862,0.371394,0.835623,9.33861,78.0165,24.5990,19.8465,9.69573
46500.0,66.9460,-50.9864,895.415,-99999.0,94.5952,16.4602,4.30915,0.368517,0.838216,9.33711,78.0287,24.6177,19.8796,9.66132
46510.0,66.9400,-51.0155,885.570,-99999.0,94.6138,16.4713,4.32815,0.362900,0.840296,9.32311,78.0331,24.6332,19.9183,9.62589
46520.0,66.9361,-51.0480,876.092,99.9219,94.6207,16.4890,4.33832,0.358439,0.841390,9.30608,78.0403,24.6498,19.9614,9.58777
46530.0,66.9324,-51.0815,865.859,98.3772,94.6247,16.5081,4.34918,0.358168,0.841612,9.29269,78.0520,24.6730,20.0019,9.54699
