time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
68470.0,61.2083,-150.020,993.074,145.902,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
68480.0,61.2153,-150.028,988.147,136.510,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
68490.0,61.2212,-150.041,984.605,134.255,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
68500.0,61.2274,-150.055,978.347,119.471,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
68510.0,61.2341,-150.070,972.509,91.8406,84.0361,10.8687,1.12948,0.405652,0.800886,6.91751,73.1982,25.4336,11.7061,6.73000
68520.0,61.2400,-150.087,969.028,88.5002,84.0018,10.8456,1.13096,0.400143,0.831906,6.93056,73.1623,25.4320,11.6744,6.73449
68530.0,61.2443,-150.107,956.979,86.8859,83.8866,10.7932,1.13184,0.383929,0.919383,6.96439,73.0510,25.4307,11.5779,6.74690
68540.0,61.2468,-150.129,947.490,86.4112,83.7947,10.8141,1.13213,0.377699,0.944129,6.97411,72.9745,25.4298,11.5058,6.75721
68550.0,61.2483,-150.153,939.870,85.8580,83.7302,10.8660,1.13446,0.378478,0.927995,6.96799,72.9175,25.4279,11.4482,6.76591
68560.0,61.2482,-150.177,931.583,85.7181,83.6754,10.9187,1.14041,0.383976,0.888459,6.95383,72.8479,25.4240,11.3796,6.77454
68570.0,61.2473,-150.202,921.959,85.6471,83.6104,10.9439,1.14918,0.393901,0.837358,6.94010,72.7425,25.4179,11.2824,6.78113
68580.0,61.2466,-150.228,911.019,85.2348,83.5021,10.9313,1.15545,0.406418,0.795718,6.93700,72.5876,25.4113,11.1466,6.78387
68590.0,61.2459,-150.255,896.873,85.0528,83.3107,10.9239,1.15315,0.418101,0.778311,6.94195,72.3720,25.4034,10.9585,6.78559
68600.0,61.2450,-150.280,880.530,84.4675,82.9553,10.9513,1.14226,0.416607,0.798117,6.93890,72.0579,25.3848,10.6754,6.77683
68610.0,61.2442,-150.306,864.009,84.3678,82.2008,10.8803,1.12442,0.396302,0.799744,6.88156,71.4375,25.3395,10.1254,6.69057
68620.0,61.2433,-150.332,848.014,84.6073,81.2075,10.6926,1.08554,0.377066,0.793429,6.77548,70.6500,25.2927,9.45359,6.51327
68630.0,61.2424,-150.358,834.592,83.7871,80.4642,10.5434,1.04321,0.377666,0.810979,6.69853,70.0489,25.2784,8.97810,6.34823
68640.0,61.2416,-150.384,821.702,84.2499,80.0266,10.5173,1.04333,0.386159,0.821843,6.69509,69.5720,25.2898,8.63490,6.23683
68650.0,61.2408,-150.409,808.432,83.8382,80.0401,10.6999,1.10902,0.394986,0.809669,6.82132,69.2873,25.3626,8.45153,6.21391
68660.0,61.2400,-150.435,795.099,82.7528,80.5815,11.0799,1.21260,0.401460,0.792946,7.08389,69.3568,25.5674,8.52265,6.29583
68670.0,61.2393,-150.461,782.120,83.2976,81.5703,11.6288,1.33422,0.405080,0.784949,7.46568,69.7737,25.9466,8.81906,6.46642
68680.0,61.2387,-150.487,770.217,84.7022,82.8352,12.3381,1.47292,0.407078,0.785706,7.96522,70.3568,26.4995,9.18879,6.68874
68690.0,61.2381,-150.513,759.180,84.6332,84.4713,13.2648,1.64069,0.408267,0.796259,8.64087,71.0720,27.2043,9.61424,6.99649
68700.0,61.2362,-150.539,748.597,84.8321,86.8332,14.5367,1.86270,0.410190,0.814035,9.59938,72.0554,28.0333,10.1894,7.48920
68710.0,61.2302,-150.561,737.724,85.0003,90.1411,16.2203,2.16340,0.415159,0.832353,10.8879,73.4437,28.9696,10.9867,8.22339
68720.0,61.2203,-150.577,727.232,82.9412,93.4704,17.8685,2.50522,0.421429,0.845347,12.1345,74.9472,29.8065,11.8694,8.97037
68730.0,61.2083,-150.585,718.651,85.7067,95.7452,18.9843,2.80566,0.425034,0.853277,12.9420,76.1194,30.3435,12.6001,9.46716
68740.0,61.1955,-150.588,711.062,87.6650,97.3550,19.7750,3.07072,0.426450,0.860093,13.4833,77.0495,30.6948,13.2144,9.80109
68750.0,61.1823,-150.591,703.585,-99999.0,98.6721,20.4312,3.31894,0.426859,0.867354,13.9120,77.8452,30.9415,13.7756,10.0572
68760.0,61.1689,-150.592,697.268,-99999.0,99.6115,20.9123,3.50931,0.427020,0.873358,14.2171,78.3965,31.0802,14.2040,10.2263
68770.0,61.1551,-150.594,692.713,-99999.0,100.201,21.2225,3.63151,0.427213,0.877484,14.4129,78.7190,31.1458,14.4809,10.3251
68780.0,61.1409,-150.595,688.362,-99999.0,100.704,21.4972,3.73707,0.427434,0.881349,14.5871,78.9742,31.1833,14.7248,10.4051
68790.0,61.1263,-150.596,684.011,-99999.0,101.154,21.7546,3.83244,0.427688,0.885084,14.7523,79.1831,31.1983,14.9515,10.4731
68800.0,61.1113,-150.597,679.593,-99999.0,101.561,22.0019,3.91916,0.427973,0.888676,14.9148,79.3531,31.1930,15.1664,10.5323
68810.0,61.0960,-150.597,675.252,-99999.0,101.920,22.2344,3.99442,0.428275,0.892020,15.0732,79.4849,31.1709,15.3634,10.5833
68820.0,61.0804,-150.598,671.035,-99999.0,102.236,22.4535,4.05820,0.428584,0.895112,15.2297,79.5851,31.1358,15.5424,10.6288
68830.0,61.0644,-150.599,666.817,-99999.0,102.528,22.6708,4.11255,0.428893,0.897996,15.3935,79.6633,31.0902,15.7098,10.6727
68840.0,61.0481,-150.599,662.483,-99999.0,102.814,22.8981,4.15827,0.429200,0.900703,15.5761,79.7273,31.0355,15.8696,10.7190
68850.0,61.0315,-150.599,657.997,-99999.0,103.111,23.1454,4.19405,0.429493,0.903272,15.7883,79.7841,30.9746,16.0208,10.7721
68860.0,61.0147,-150.600,651.356,-99999.0,103.628,23.5852,4.22329,0.429850,0.906083,16.1964,79.8749,30.8922,16.2134,10.8696
68870.0,60.9978,-150.600,643.179,-99999.0,104.478,24.2772,4.21463,0.430108,0.909537,16.8891,80.0433,30.8299,16.3845,11.0457
68880.0,60.9810,-150.601,634.085,-99999.0,105.751,25.2597,4.15324,0.430165,0.913544,17.9157,80.3307,30.8233,16.4912,11.3267
68890.0,60.9646,-150.607,624.772,-99999.0,107.226,26.3723,4.02769,0.429993,0.919595,19.1210,80.6901,30.8732,16.4978,11.6905
68900.0,60.9494,-150.620,615.567,107.597,108.727,27.4835,3.84489,0.429665,0.927798,20.3654,81.0878,30.9721,16.4120,12.1186
