time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
52390.0,34.6310,-118.107,922.293,273.396,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52400.0,34.6307,-118.114,917.273,276.435,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52410.0,34.6302,-118.124,909.406,223.201,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52420.0,34.6299,-118.134,903.495,203.801,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52430.0,34.6301,-118.145,897.705,199.014,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52440.0,34.6318,-118.155,890.667,190.355,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52450.0,34.6361,-118.165,884.542,189.525,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52460.0,34.6428,-118.172,880.629,188.839,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52470.0,34.6516,-118.177,877.245,189.730,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52480.0,34.6615,-118.179,873.937,189.893,215.847,45.6104,39.4128,1.46818,1.62605,1.92422,168.012,14.9204,116.416,2.91498
52490.0,34.6719,-118.177,870.754,187.434,213.066,45.2564,39.0583,1.46802,1.62778,1.91781,165.669,14.8934,114.156,2.90865
52500.0,34.6818,-118.171,865.588,227.589,210.183,44.8790,38.6855,1.46635,1.62824,1.91105,163.246,14.8555,111.822,2.90113
52510.0,34.6903,-118.162,860.943,209.863,207.929,44.5880,38.3993,1.46480,1.62784,1.90585,161.350,14.8226,109.998,2.89511
52520.0,34.6967,-118.150,857.190,189.809,206.502,44.4136,38.2300,1.46326,1.62671,1.90233,160.146,14.7969,108.843,2.89106
52530.0,34.7005,-118.136,852.735,186.939,205.591,44.3037,38.1265,1.46242,1.62487,1.89854,159.367,14.7694,108.107,2.88741
52540.0,34.7021,-118.122,846.478,207.649,204.767,44.2020,38.0254,1.46900,1.62419,1.89064,158.655,14.7304,107.452,2.88185
52550.0,34.7031,-118.107,838.214,-99999.0,203.484,44.0815,37.8873,1.49360,1.62856,1.87491,157.541,14.6724,106.440,2.87173
52560.0,34.7045,-118.092,828.564,-99999.0,201.915,43.9069,37.6918,1.52643,1.63655,1.85664,156.212,14.6026,105.230,2.85893
52570.0,34.7060,-118.076,822.434,-99999.0,200.937,43.8468,37.6222,1.54520,1.64229,1.84708,155.392,14.5526,104.490,2.84994
52580.0,34.7073,-118.061,817.585,-99999.0,200.223,43.8403,37.6119,1.55650,1.64659,1.84107,154.797,14.5101,103.957,2.84255
52590.0,34.7084,-118.045,810.980,-99999.0,199.191,43.7769,37.5490,1.56549,1.65190,1.83401,153.966,14.4534,103.202,2.83261
52600.0,34.7095,-118.029,801.205,-99999.0,197.497,43.5861,37.3593,1.57412,1.66000,1.82299,152.651,14.3694,101.983,2.81761
52610.0,34.7105,-118.013,790.947,-99999.0,195.640,43.3522,37.1111,1.59153,1.67069,1.80791,151.251,14.2772,100.669,2.80103
52620.0,34.7117,-117.997,783.313,-99999.0,194.284,43.2121,36.9530,1.61219,1.67933,1.79524,150.229,14.2028,99.7104,2.78787
52630.0,34.7133,-117.981,776.883,-99999.0,193.162,43.1185,36.8462,1.63261,1.68621,1.78470,149.374,14.1350,98.9126,2.77611
52640.0,34.7144,-117.965,770.887,-99999.0,192.192,43.0419,36.7649,1.65120,1.69176,1.77543,148.633,14.0669,98.2333,2.76450
52650.0,34.7133,-117.948,768.028,-99999.0,192.257,43.1329,36.8549,1.66178,1.69361,1.77215,148.710,14.0355,98.3405,2.75973
52660.0,34.7072,-117.933,768.202,-99999.0,193.510,43.3452,37.0641,1.66623,1.69259,1.77377,149.795,14.0403,99.4162,2.76142
52670.0,34.6966,-117.921,759.644,-99999.0,192.856,42.9646,36.6943,1.68906,1.70119,1.75874,149.604,13.9377,99.3144,2.74236
52680.0,34.6838,-117.916,743.099,-99999.0,189.647,41.8680,35.5903,1.75173,1.72105,1.72177,147.615,13.7344,97.5420,2.70230
52690.0,34.6704,-117.914,733.023,-99999.0,187.819,41.0825,34.7685,1.80996,1.73375,1.69616,146.634,13.6311,96.6726,2.67976
52700.0,34.6572,-117.917,727.210,112.559,186.934,40.5624,34.2254,1.84407,1.74017,1.68234,146.280,13.5894,96.3526,2.66895
52710.0,34.6449,-117.925,722.150,108.690,185.870,40.0699,33.7141,1.87308,1.74555,1.67142,145.722,13.5648,95.8058,2.66108
52720.0,34.6332,-117.934,715.461,106.141,184.022,39.4931,33.1115,1.91064,1.75269,1.66002,144.515,13.5593,94.5980,2.65456
52730.0,34.6215,-117.944,706.142,104.218,180.774,38.7372,32.3166,1.95821,1.76265,1.64983,142.158,13.6176,92.2200,2.65362
52740.0,34.6096,-117.952,698.793,105.280,177.356,37.9938,31.5424,1.98818,1.77046,1.64549,139.576,13.7235,89.6162,2.65903
52750.0,34.5975,-117.962,694.844,105.144,175.028,37.4549,30.9885,2.00049,1.77482,1.64398,137.824,13.8024,87.8498,2.66385
52760.0,34.5852,-117.970,690.903,104.108,172.454,36.8856,30.4046,2.01051,1.77891,1.64323,135.846,13.8942,85.8597,2.66983
52770.0,34.5726,-117.980,687.860,103.002,170.213,36.3858,29.8943,2.01684,1.78208,1.64290,134.120,13.9735,84.1217,2.67511
52780.0,34.5598,-117.989,684.739,102.958,167.786,35.8638,29.3617,2.02209,1.78508,1.64300,132.221,14.0619,82.2103,2.68114
52790.0,34.5465,-117.998,681.545,102.542,165.154,35.3144,28.8020,2.02618,1.78790,1.64356,130.133,14.1602,80.1085,2.68795
52800.0,34.5327,-118.006,678.259,101.932,162.454,34.7548,28.2330,2.02823,1.79039,1.64470,127.973,14.2673,77.9331,2.69547
52810.0,34.5186,-118.015,674.886,101.632,159.507,34.1619,27.6310,2.02896,1.79271,1.64641,125.586,14.3871,75.5259,2.70399
52820.0,34.5045,-118.024,671.689,101.468,156.553,33.5766,27.0379,2.02806,1.79471,1.64858,123.174,14.5110,73.0885,2.71289
52830.0,34.4903,-118.033,668.413,101.678,152.436,32.8437,26.2896,2.03052,1.79684,1.65093,119.758,14.6690,69.6301,2.72364
52840.0,34.4760,-118.043,665.084,101.756,147.884,32.0568,25.4857,2.03220,1.79891,1.65379,115.965,14.8495,65.7891,2.73583
52850.0,34.4615,-118.053,661.510,98.2279,143.216,31.2492,24.6638,2.02998,1.80091,1.65749,112.068,15.0510,61.8465,2.74964
52860.0,34.4470,-118.063,655.853,94.3521,136.991,30.1702,23.5732,2.01605,1.80321,1.66466,106.848,15.3651,56.5717,2.77206
52870.0,34.4325,-118.073,647.984,92.1441,129.569,28.8685,22.2698,1.98198,1.80548,1.67535,100.641,15.7970,50.2896,2.80350
52880.0,34.4182,-118.083,639.815,95.4613,122.829,27.6616,21.0732,1.93277,1.80724,1.68579,95.0684,16.2340,44.6195,2.83517
52890.0,34.4039,-118.094,631.762,93.5352,117.244,26.6179,20.0509,1.87286,1.80840,1.69418,90.5262,16.6271,39.9700,2.86291
