time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
52170.0,34.6310,-118.106,924.792,154.686,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52180.0,34.6305,-118.113,918.541,157.660,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52190.0,34.6301,-118.123,907.473,146.222,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52200.0,34.6306,-118.133,898.811,119.595,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52210.0,34.6332,-118.142,895.485,115.552,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52220.0,34.6380,-118.150,889.773,115.051,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52230.0,34.6446,-118.157,884.407,116.234,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52240.0,34.6523,-118.164,879.368,118.214,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52250.0,34.6605,-118.169,875.563,113.043,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
52260.0,34.6691,-118.175,872.098,112.426,197.237,30.4902,24.5475,0.709684,2.54778,1.56185,166.191,11.9243,109.311,2.42630
52270.0,34.6781,-118.182,869.602,111.650,193.936,31.0847,25.1374,0.709512,2.56330,1.54985,162.370,11.9048,105.683,2.41766
52280.0,34.6876,-118.188,866.842,110.572,190.340,31.7079,25.7562,0.709601,2.58106,1.53639,158.225,11.8807,101.749,2.40785
52290.0,34.6976,-118.195,862.499,109.335,186.053,32.3505,26.3953,0.710126,2.60332,1.52024,153.368,11.8467,97.1395,2.39553
52300.0,34.7078,-118.201,855.381,108.756,180.735,33.0067,27.0464,0.712763,2.63290,1.49915,147.470,11.7970,91.5417,2.37943
52310.0,34.7181,-118.208,846.426,107.279,174.493,33.6466,27.6690,0.721370,2.67050,1.46961,140.712,11.7291,85.1179,2.35935
52320.0,34.7285,-118.215,837.970,107.795,168.227,34.2254,28.2191,0.735263,2.70922,1.43547,134.040,11.6554,78.7624,2.33827
52330.0,34.7389,-118.222,831.904,106.738,163.010,34.7168,28.6884,0.747103,2.74007,1.40709,128.486,11.5958,73.4653,2.32062
52340.0,34.7490,-118.231,826.417,106.589,158.208,35.0869,29.0432,0.758049,2.76738,1.38175,123.454,11.5389,68.6604,2.30387
52350.0,34.7593,-118.240,820.062,96.7776,155.726,35.5936,29.5595,0.764939,2.76722,1.37953,120.589,11.5796,65.8801,2.30468
