time,Lat,Lon,Pressure,QCLS_CO,GEOS_CO,CO_bbGlobal,CO_bbNAm,CO_bbSAm,CO_bbAfrica,CO_bbEuras,CO_nbGlobal,CO_nbAsia,CO_nbNam,CO_nbEuro
80120.0,-43.5018,172.518,989.809,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
80130.0,-43.5072,172.512,977.781,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0
80140.0,-43.5127,172.505,972.968,-99999.0,54.9558,6.88421,0.124416,1.72414,3.33855,0.0792958,48.0663,3.22221,0.764700,0.526689
80150.0,-43.5186,172.498,968.061,-99999.0,54.9060,6.93520,0.125310,1.74295,3.36520,0.0793015,47.9757,3.23916,0.767101,0.529013
80160.0,-43.5246,172.491,962.431,-99999.0,54.8657,6.98728,0.126322,1.76089,3.39257,0.0793082,47.8940,3.25603,0.769358,0.531453
80170.0,-43.5308,172.482,959.410,-99999.0,54.8359,7.00712,0.126853,1.76741,3.40307,0.0793120,47.8498,3.26254,0.770154,0.532408
80180.0,-43.5377,172.474,955.088,-99999.0,54.7848,7.02820,0.127593,1.77285,3.41374,0.0793178,47.7839,3.26915,0.770985,0.533489
80190.0,-43.5453,172.465,950.500,-99999.0,54.7199,7.03797,0.128344,1.77281,3.41778,0.0793244,47.7145,3.27188,0.771359,0.534159
80200.0,-43.5528,172.456,945.424,-99999.0,54.6380,7.03104,0.129113,1.76518,3.41204,0.0793325,47.6431,3.26912,0.771106,0.534262
80210.0,-43.5606,172.446,940.501,-99999.0,54.5518,7.01073,0.129725,1.75255,3.39869,0.0793419,47.5795,3.26221,0.770401,0.533914
80220.0,-43.5687,172.435,932.595,-99999.0,54.4206,6.96791,0.130210,1.72955,3.37174,0.0793623,47.4941,3.24795,0.768963,0.533098
80230.0,-43.5771,172.425,923.871,-99999.0,54.2891,6.92209,0.129631,1.71025,3.34530,0.0793962,47.4143,3.23312,0.767137,0.532307
80240.0,-43.5860,172.415,914.752,-99999.0,54.1782,6.89413,0.127722,1.70544,3.33343,0.0794449,47.3408,3.22449,0.765340,0.532072
80250.0,-43.5961,172.407,905.339,-99999.0,54.1047,6.88281,0.125762,1.71072,3.33541,0.0794950,47.2827,3.22311,0.764223,0.532150
